PassengerId,Name,Sex,No_of_siblings_aboard,Parents_&_children,Ticket, Ticket_Fare ,Port_Embarked,Age_Group,Citizens_Status,survivors
1, Mr. Owen Harris,male,1,0,A/5 21171, £7.25 ,Southampton,Youth,Third class,dead
2, Mrs. John Bradley,female,1,0,PC 17599, £71.28 ,Cherbourg,middle age,First class,survivor
3, Miss. Laina,female,0,0,STON/O2. 3101282, £7.92 ,Southampton,Youth,Third class,survivor
4, Mrs. Jacques Heath,female,1,0,113803, £53.10 ,Southampton,middle age,First class,survivor
5, Mr. William Henry,male,0,0,373450, £8.05 ,Southampton,middle age,Third class,dead
7, Mr. Timothy J,male,0,0,17463, £51.86 ,Southampton,old,First class,dead
8, Master. Gosta Leonard,male,3,1,349909, £21.08 ,Southampton,kid,Third class,dead
9, Mrs. Oscar W,female,0,2,347742, £11.13 ,Southampton,Youth,Third class,survivor
10, Mrs. Nicholas Adele,female,1,0,237736, £30.07 ,Cherbourg,Teen,Second class,survivor
11, Miss. Marguerite Rut,female,1,1,PP 9549, £16.70 ,Southampton,kid,Third class,survivor
12, Miss. Elizabeth,female,0,0,113783, £26.55 ,Southampton,old,First class,survivor
13, Mr. William Henry,male,0,0,A/5. 2151, £8.05 ,Southampton,Youth,Third class,dead
14, Mr. Anders Johan,male,1,5,347082, £31.28 ,Southampton,middle age,Third class,dead
15, Miss. Hulda Amanda,female,0,0,350406, £7.85 ,Southampton,Teen,Third class,dead
16, Mrs. Mary D,female,0,0,248706, £16.00 ,Southampton,old,Second class,survivor
17, Master. Eugene,male,4,1,382652, £29.12 ,Queenstown,kid,Third class,dead
19, Mrs. Julius Emelia,female,1,0,345763, £18.00 ,Southampton,middle age,Third class,dead
21, Mr. Joseph J,male,0,0,239865, £26.00 ,Southampton,middle age,Second class,dead
22, Mr. Lawrence,male,0,0,248698, £13.00 ,Southampton,middle age,Second class,survivor
23," Miss. Anna Annie""""""""",female,0,0,330923, £8.03 ,Queenstown,Teen,Third class,survivor
24, Mr. William Thompson,male,0,0,113788, £35.50 ,Southampton,Youth,First class,survivor
25, Miss. Torborg Danira,female,3,1,349909, £21.08 ,Southampton,kid,Third class,dead
26, Mrs. Carl Oscar,female,1,5,347077, £31.39 ,Southampton,middle age,Third class,survivor
28, Mr. Charles Alexander,male,3,2,19950, £263.00 ,Southampton,Youth,First class,dead
31, Don. Manuel E,male,0,0,PC 17601, £27.72 ,Cherbourg,middle age,First class,dead
34, Mr. Edward H,male,0,0,C.A. 24579, £10.50 ,Southampton,old,Second class,dead
35, Mr. Edgar Joseph,male,1,0,PC 17604, £82.17 ,Cherbourg,Youth,First class,dead
36, Mr. Alexander Oskar,male,1,0,113789, £52.00 ,Southampton,middle age,First class,dead
38, Mr. Ernest Charles,male,0,0,A./5. 2152, £8.05 ,Southampton,Youth,Third class,dead
39, Miss. Augusta Maria,female,2,0,345764, £18.00 ,Southampton,Youth,Third class,dead
40, Miss. Jamila,female,1,0,2651, £11.24 ,Cherbourg,Teen,Third class,survivor
41, Mrs. Johan Johanna,female,1,0,7546, £9.48 ,Southampton,middle age,Third class,dead
42, Mrs. William John,female,1,0,11668, £21.00 ,Southampton,Youth,Second class,dead
44, Miss. Simonne Marie,female,1,2,SC/Paris 2123, £41.58 ,Cherbourg,kid,Second class,survivor
45, Miss. Margaret Delia,female,0,0,330958, £7.88 ,Queenstown,Youth,Third class,survivor
50, Mrs. Josef Josefine,female,1,0,349237, £17.80 ,Southampton,Youth,Third class,dead
51, Master. Juha Niilo,male,4,1,3101295, £39.69 ,Southampton,kid,Third class,dead
52, Mr. Richard Cater,male,0,0,A/4. 39886, £7.80 ,Southampton,Youth,Third class,dead
53, Mrs. Henry Sleeper,female,1,0,PC 17572, £76.73 ,Cherbourg,middle age,First class,survivor
54, Mrs. Lizzie Elizabeth,female,1,0,2926, £26.00 ,Southampton,Youth,Second class,survivor
55, Mr. Engelhart Cornelius,male,0,1,113509, £61.98 ,Cherbourg,old,First class,dead
57, Miss. Emily,female,0,0,C.A. 31026, £10.50 ,Southampton,Youth,Second class,survivor
58, Mr. Mansouer,male,0,0,2697, £7.23 ,Cherbourg,Youth,Third class,dead
59, Miss. Constance Mirium,female,1,2,C.A. 34651, £27.75 ,Southampton,kid,Second class,survivor
60, Master. William Frederick,male,5,2,CA 2144, £46.90 ,Southampton,Teen,Third class,dead
61, Mr. Orsen,male,0,0,2669, £7.23 ,Cherbourg,Youth,Third class,dead
62, Miss. Amelie,female,0,0,113572, £80.00 ,NULL,middle age,First class,survivor
63, Mr. Henry Birkhardt,male,1,0,36973, £83.48 ,Southampton,middle age,First class,dead
64, Master. Harald,male,3,2,347088, £27.90 ,Southampton,kid,Third class,dead
67, Mrs. Elizabeth Ramell,female,0,0,C.A. 29395, £10.50 ,Southampton,Youth,Second class,survivor
68, Mr. Ernest James,male,0,0,S.P. 3464, £8.16 ,Southampton,Youth,Third class,dead
69, Miss. Erna Alexandra,female,4,2,3101281, £7.92 ,Southampton,Teen,Third class,survivor
70, Mr. Vincenz,male,2,0,315151, £8.66 ,Southampton,Youth,Third class,dead
71, Mr. Stephen Curnow,male,0,0,C.A. 33111, £10.50 ,Southampton,middle age,Second class,dead
72, Miss. Lillian Amy,female,5,2,CA 2144, £46.90 ,Southampton,Teen,Third class,dead
73, Mr. Ambrose Jr,male,0,0,S.O.C. 14879, £73.50 ,Southampton,Youth,Second class,dead
74, Mr. Apostolos,male,1,0,2680, £14.45 ,Cherbourg,Youth,Third class,dead
75, Mr. Lee,male,0,0,1601, £56.50 ,Southampton,middle age,Third class,survivor
76, Mr. Sigurd Hansen,male,0,0,348123, £7.65 ,Southampton,Youth,Third class,dead
79, Master. Alden Gates,male,0,2,248738, £29.00 ,Southampton,kid,Second class,survivor
80, Miss. Elizabeth,female,0,0,364516, £12.48 ,Southampton,Youth,Third class,survivor
81, Mr. Achille,male,0,0,345767, £9.00 ,Southampton,Youth,Third class,dead
82, Mr. Jan Baptist,male,0,0,345779, £9.50 ,Southampton,Youth,Third class,survivor
84, Mr. Francisco M,male,0,0,113059, £47.10 ,Southampton,Youth,First class,dead
85, Miss. Bertha,female,0,0,SO/C 14885, £10.50 ,Southampton,Teen,Second class,survivor
86, Mrs. Karl Alfred,female,3,0,3101278, £15.85 ,Southampton,middle age,Third class,survivor
87, Mr. William Neal,male,1,3,W./C. 6608, £34.38 ,Southampton,Teen,Third class,dead
89, Miss. Mabel Helen,female,3,2,19950, £263.00 ,Southampton,Youth,First class,survivor
90, Mr. Francesco,male,0,0,343275, £8.05 ,Southampton,Youth,Third class,dead
91, Mr. Emil,male,0,0,343276, £8.05 ,Southampton,Youth,Third class,dead
92, Mr. Paul Edvin,male,0,0,347466, £7.85 ,Southampton,Youth,Third class,dead
93, Mr. Herbert Fuller,male,1,0,W.E.P. 5734, £61.18 ,Southampton,middle age,First class,dead
94, Mr. Bertram Frank,male,1,2,C.A. 2315, £20.58 ,Southampton,Youth,Third class,dead
95, Mr. Daniel,male,0,0,364500, £7.25 ,Southampton,old,Third class,dead
97, Mr. George B,male,0,0,PC 17754, £34.65 ,Cherbourg,old,First class,dead
98, Mr. William Bertram,male,0,1,PC 17759, £63.36 ,Cherbourg,Youth,First class,survivor
99, Mrs. John T,female,0,1,231919, £23.00 ,Southampton,middle age,Second class,survivor
100, Mr. Sinai,male,1,0,244367, £26.00 ,Southampton,middle age,Second class,dead
101, Miss. Matilda,female,0,0,349245, £7.90 ,Southampton,Youth,Third class,dead
103, Mr. Richard Frasar,male,0,1,35281, £77.29 ,Southampton,Youth,First class,dead
104, Mr. Gustaf Joel,male,0,0,7540, £8.65 ,Southampton,middle age,Third class,dead
105, Mr. Anders Vilhelm,male,2,0,3101276, £7.92 ,Southampton,middle age,Third class,dead
106, Mr. Stoytcho,male,0,0,349207, £7.90 ,Southampton,Youth,Third class,dead
107, Miss. Anna Kristine,female,0,0,343120, £7.65 ,Southampton,Youth,Third class,survivor
109, Mr. Tido,male,0,0,349249, £7.90 ,Southampton,middle age,Third class,dead
111, Mr. Walter Chamberlain,male,0,0,110465, £52.00 ,Southampton,middle age,First class,dead
112, Miss. Hileni,female,1,0,2665, £14.45 ,Cherbourg,Teen,Third class,dead
113, Mr. David John,male,0,0,324669, £8.05 ,Southampton,Youth,Third class,dead
114, Miss. Katriina,female,1,0,4136, £9.82 ,Southampton,Youth,Third class,dead
115, Miss. Malake,female,0,0,2627, £14.46 ,Cherbourg,Teen,Third class,dead
116, Mr. Edvard,male,0,0,STON/O 2. 3101294, £7.92 ,Southampton,Youth,Third class,dead
117, Mr. Patrick,male,0,0,370369, £7.75 ,Queenstown,old,Third class,dead
118, Mr. William John,male,1,0,11668, £21.00 ,Southampton,Youth,Second class,dead
119, Mr. Quigg Edmond,male,0,1,PC 17558, £247.52 ,Cherbourg,Youth,First class,dead
120, Miss. Ellis Anna,female,4,2,347082, £31.28 ,Southampton,kid,Third class,dead
121, Mr. Stanley George,male,2,0,S.O.C. 14879, £73.50 ,Southampton,Youth,Second class,dead
123, Mr. Nicholas,male,1,0,237736, £30.07 ,Cherbourg,middle age,Second class,dead
124, Miss. Susan,female,0,0,27267, £13.00 ,Southampton,middle age,Second class,survivor
125, Mr. Percival Wayland,male,0,1,35281, £77.29 ,Southampton,old,First class,dead
126, Master. Elias,male,1,0,2651, £11.24 ,Cherbourg,Teen,Third class,survivor
128, Mr. Fridtjof Arne,male,0,0,C 17369, £7.14 ,Southampton,Youth,Third class,survivor
130, Mr. Johan,male,0,0,347061, £6.98 ,Southampton,middle age,Third class,dead
131, Mr. Jozef,male,0,0,349241, £7.90 ,Cherbourg,middle age,Third class,dead
132, Mr. Domingos Fernandeo,male,0,0,SOTON/O.Q. 3101307, £7.05 ,Southampton,Youth,Third class,dead
133, Mrs. Alexander A,female,1,0,A/5. 3337, £14.50 ,Southampton,middle age,Third class,dead
134, Mrs. Leopold Mathilde,female,1,0,228414, £26.00 ,Southampton,Youth,Second class,survivor
135, Mr. Samuel James,male,0,0,C.A. 29178, £13.00 ,Southampton,Youth,Second class,dead
136, Mr. Emile,male,0,0,SC/PARIS 2133, £15.05 ,Cherbourg,Youth,Second class,dead
137, Miss. Helen Monypeny,female,0,2,11752, £26.28 ,Southampton,Youth,First class,survivor
138, Mr. Jacques Heath,male,1,0,113803, £53.10 ,Southampton,middle age,First class,dead
139, Mr. Olaf Elon,male,0,0,7534, £9.22 ,Southampton,Teen,Third class,dead
140, Mr. Victor,male,0,0,PC 17593, £79.20 ,Cherbourg,Youth,First class,dead
142, Miss. Anna Sofia,female,0,0,347081, £7.75 ,Southampton,Youth,Third class,survivor
143, Mrs. Pekka Pietari,female,1,0,STON/O2. 3101279, £15.85 ,Southampton,Youth,Third class,survivor
144, Mr. Jeremiah,male,0,0,365222, £6.75 ,Queenstown,Youth,Third class,dead
145, Mr. Edgardo Samuel,male,0,0,231945, £11.50 ,Southampton,Youth,Second class,dead
146, Mr. Joseph Charles,male,1,1,C.A. 33112, £36.75 ,Southampton,Youth,Second class,dead
147, Mr. August Edvard,male,0,0,350043, £7.80 ,Southampton,Youth,Third class,survivor
148, Miss. Robina Maggie,female,2,2,W./C. 6608, £34.38 ,Southampton,kid,Third class,dead
149," Mr. Michel Louis""",male,0,2,230080, £26.00 ,Southampton,middle age,Second class,dead
150, Rev. Thomas Roussel,male,0,0,244310, £13.00 ,Southampton,middle age,Second class,dead
151, Rev. Robert James,male,0,0,S.O.P. 1166, £12.52 ,Southampton,old,Second class,dead
152, Mrs. Thomas Edith,female,1,0,113776, £66.60 ,Southampton,Youth,First class,survivor
153, Mr. Alfonzo,male,0,0,A.5. 11206, £8.05 ,Southampton,old,Third class,dead
154, Mr. Austin Blyler,male,0,2,A/5. 851, £14.50 ,Southampton,middle age,Third class,dead
156, Mr. Charles Duane,male,0,1,PC 17597, £61.38 ,Cherbourg,old,First class,dead
157," Miss. Katherine Katie""""""""",female,0,0,35851, £7.73 ,Queenstown,Teen,Third class,survivor
158, Mr. Harry,male,0,0,SOTON/OQ 392090, £8.05 ,Southampton,Youth,Third class,dead
161, Mr. John Hatfield,male,0,1,371362, £16.10 ,Southampton,middle age,Third class,dead
162, Mrs. James Elizabeth,female,0,0,C.A. 33595, £15.75 ,Southampton,middle age,Second class,survivor
163, Mr. John Viktor,male,0,0,347068, £7.78 ,Southampton,Youth,Third class,dead
164, Mr. Jovo,male,0,0,315093, £8.66 ,Southampton,Teen,Third class,dead
165, Master. Eino Viljami,male,4,1,3101295, £39.69 ,Southampton,kid,Third class,dead
166, Master. Frank John,male,0,2,363291, £20.52 ,Southampton,kid,Third class,survivor
168, Mrs. William Anna,female,1,4,347088, £27.90 ,Southampton,middle age,Third class,dead
170, Mr. Lee,male,0,0,1601, £56.50 ,Southampton,Youth,Third class,dead
171, Mr. Wyckoff,male,0,0,111240, £33.50 ,Southampton,old,First class,dead
172, Master. Arthur,male,4,1,382652, £29.12 ,Queenstown,kid,Third class,dead
173, Miss. Eleanor Ileen,female,1,1,347742, £11.13 ,Southampton,kid,Third class,survivor
174, Mr. Antti Wilhelm,male,0,0,STON/O 2. 3101280, £7.92 ,Southampton,Youth,Third class,dead
175, Mr. James Clinch,male,0,0,17764, £30.70 ,Cherbourg,old,First class,dead
176, Mr. Klas Albin,male,1,1,350404, £7.85 ,Southampton,Youth,Third class,dead
178, Miss. Ann Elizabeth,female,0,0,PC 17595, £28.71 ,Cherbourg,middle age,First class,dead
179, Mr. Reginald,male,0,0,250653, £13.00 ,Southampton,Youth,Second class,dead
180, Mr. Lionel,male,0,0,LINE, £-   ,Southampton,middle age,Third class,dead
183, Master. Clarence Gustaf,male,4,2,347077, £31.39 ,Southampton,kid,Third class,dead
184, Master. Richard F,male,2,1,230136, £39.00 ,Southampton,kid,Second class,survivor
185, Miss. Luise Gretchen,female,0,2,315153, £22.02 ,Southampton,kid,Third class,survivor
188, Mr. Charles Hallace,male,0,0,111428, £26.55 ,Southampton,middle age,First class,survivor
189, Mr. John,male,1,1,364849, £15.50 ,Queenstown,middle age,Third class,dead
190, Mr. Stjepan,male,0,0,349247, £7.90 ,Southampton,middle age,Third class,dead
191, Mrs. Rosa ,female,0,0,234604, £13.00 ,Southampton,middle age,Second class,survivor
192, Mr. William,male,0,0,28424, £13.00 ,Southampton,Youth,Second class,dead
193, Miss. Carla Christine,female,1,0,350046, £7.85 ,Southampton,Youth,Third class,survivor
194, Master. Michel M,male,1,1,230080, £26.00 ,Southampton,kid,Second class,survivor
195, Mrs. James Joseph,female,0,0,PC 17610, £27.72 ,Cherbourg,middle age,First class,survivor
196, Miss. Elise,female,0,0,PC 17569, £146.52 ,Cherbourg,old,First class,survivor
198, Mr. Karl Siegwart,male,0,1,4579, £8.40 ,Southampton,middle age,Third class,dead
200," Miss. Henriette Mrs""",female,0,0,248747, £13.00 ,Southampton,Youth,Second class,dead
201, Mr. Nestor Cyriel,male,0,0,345770, £9.50 ,Southampton,Youth,Third class,dead
203, Mr. Jakob Alfred,male,0,0,3101264, £6.50 ,Southampton,middle age,Third class,dead
204, Mr. Gerious,male,0,0,2628, £7.22 ,Cherbourg,middle age,Third class,dead
205," Mr. Gurshon Gus""""""""",male,0,0,A/5 3540, £8.05 ,Southampton,Youth,Third class,survivor
206, Miss. Telma Matilda,female,0,1,347054, £10.46 ,Southampton,kid,Third class,dead
207, Mr. Karl Alfred,male,1,0,3101278, £15.85 ,Southampton,middle age,Third class,dead
208, Mr. Nassef Cassem,male,0,0,2699, £18.79 ,Cherbourg,Youth,Third class,survivor
209," Miss. Helen Ellen""""""""",female,0,0,367231, £7.75 ,Queenstown,Teen,Third class,survivor
210, Mr. Henry,male,0,0,112277, £31.00 ,Cherbourg,middle age,First class,survivor
211, Mr. Ahmed,male,0,0,SOTON/O.Q. 3101311, £7.05 ,Southampton,Youth,Third class,dead
212, Miss. Clear Annie,female,0,0,F.C.C. 13528, £21.00 ,Southampton,middle age,Second class,survivor
213, Mr. John Henry,male,0,0,A/5 21174, £7.25 ,Southampton,Youth,Third class,dead
214, Mr. Hans Kristensen,male,0,0,250646, £13.00 ,Southampton,Youth,Second class,dead
216, Miss. Madeleine,female,1,0,35273, £113.28 ,Cherbourg,middle age,First class,survivor
217, Miss. Eliina,female,0,0,STON/O2. 3101283, £7.92 ,Southampton,Youth,Third class,survivor
218, Mr. Sidney Samuel,male,1,0,243847, £27.00 ,Southampton,middle age,Second class,dead
219, Miss. Albina,female,0,0,11813, £76.29 ,Cherbourg,middle age,First class,survivor
220, Mr. Walter,male,0,0,W/C 14208, £10.50 ,Southampton,Youth,Second class,dead
221, Mr. Victor Francis,male,0,0,SOTON/OQ 392089, £8.05 ,Southampton,Teen,Third class,survivor
222, Mr. James H,male,0,0,220367, £13.00 ,Southampton,Youth,Second class,dead
223, Mr. George Henry,male,0,0,21440, £8.05 ,Southampton,old,Third class,dead
225, Mr. Frederick Maxfield,male,1,0,19943, £90.00 ,Southampton,middle age,First class,survivor
226, Mr. Karl Ivar,male,0,0,PP 4348, £9.35 ,Southampton,Youth,Third class,dead
227, Mr. William John,male,0,0,SW/PP 751, £10.50 ,Southampton,Youth,Second class,survivor
228, Mr. John Hall,male,0,0,A/5 21173, £7.25 ,Southampton,Youth,Third class,dead
229, Mr. Arne Jonas,male,0,0,236171, £13.00 ,Southampton,Youth,Second class,dead
231, Mrs. Henry Birkhardt,female,1,0,36973, £83.48 ,Southampton,middle age,First class,survivor
232, Mr. Bengt Edvin,male,0,0,347067, £7.78 ,Southampton,Youth,Third class,dead
233, Mr. Ernst Adolf,male,0,0,237442, £13.50 ,Southampton,old,Second class,dead
234, Miss. Lillian Gertrud,female,4,2,347077, £31.39 ,Southampton,kid,Third class,survivor
235, Mr. Robert William,male,0,0,C.A. 29566, £10.50 ,Southampton,Youth,Second class,dead
237, Mr. Stephen,male,1,0,26707, £26.00 ,Southampton,middle age,Second class,dead
238," Miss. Marjorie Lottie""""""""",female,0,2,C.A. 31921, £26.25 ,Southampton,kid,Second class,survivor
239, Mr. Frederick William,male,0,0,28665, £10.50 ,Southampton,Youth,Second class,dead
240, Mr. George Henry,male,0,0,SCO/W 1585, £12.28 ,Southampton,middle age,Second class,dead
243, Mr. Reginald Charles,male,0,0,W./C. 14263, £10.50 ,Southampton,Youth,Second class,dead
244, Mr. Matti Alexanteri,male,0,0,STON/O 2. 3101275, £7.12 ,Southampton,Youth,Third class,dead
245, Mr. Sleiman,male,0,0,2694, £7.22 ,Cherbourg,Youth,Third class,dead
246, Dr. William Edward,male,2,0,19928, £90.00 ,Queenstown,middle age,First class,dead
247, Miss. Agda Thorilda,female,0,0,347071, £7.78 ,Southampton,Youth,Third class,dead
248, Mrs. William Anna,female,0,2,250649, £14.50 ,Southampton,Youth,Second class,survivor
249, Mr. Richard Leonard,male,1,1,11751, £52.55 ,Southampton,middle age,First class,survivor
250, Rev. Ernest Courtenay,male,1,0,244252, £26.00 ,Southampton,old,Second class,dead
252, Mrs. Wilhelm Elna,female,1,1,347054, £10.46 ,Southampton,Youth,Third class,dead
253, Mr. William Thomas,male,0,0,113514, £26.55 ,Southampton,old,First class,dead
254, Mr. William Arthur,male,1,0,A/5. 3336, £16.10 ,Southampton,Youth,Third class,dead
255, Mrs. Viktor Helena,female,0,2,370129, £20.21 ,Southampton,middle age,Third class,dead
256, Mrs. Darwis Hanne,female,0,2,2650, £15.25 ,Cherbourg,Youth,Third class,survivor
258, Miss. Gladys,female,0,0,110152, £86.50 ,Southampton,Youth,First class,survivor
259, Miss. Anna,female,0,0,PC 17755, £512.33 ,Cherbourg,middle age,First class,survivor
260, Mrs. Lutie Davis,female,0,1,230433, £26.00 ,Southampton,middle age,Second class,survivor
262, Master. Edvin Rojj,male,4,2,347077, £31.39 ,Southampton,kid,Third class,survivor
263, Mr. Emil,male,1,1,110413, £79.65 ,Southampton,old,First class,dead
264, Mr. William,male,0,0,112059, £-   ,Southampton,middle age,First class,dead
266, Mr. David,male,0,0,C.A. 17248, £10.50 ,Southampton,middle age,Second class,dead
267, Mr. Ernesti Arvid,male,4,1,3101295, £39.69 ,Southampton,Teen,Third class,dead
268, Mr. Ernst Ulrik,male,1,0,347083, £7.78 ,Southampton,Youth,Third class,survivor
269, Mrs. William Thompson,female,0,1,PC 17582, £153.46 ,Southampton,old,First class,survivor
270, Miss. Amelia,female,0,0,PC 17760, £135.63 ,Southampton,middle age,First class,survivor
272, Mr. William Henry,male,0,0,LINE, £-   ,Southampton,Youth,Third class,survivor
273, Mrs. Elizabeth Anne,female,0,1,250644, £19.50 ,Southampton,middle age,Second class,survivor
274, Mr. Charles H,male,0,1,PC 17596, £29.70 ,Cherbourg,middle age,First class,dead
276, Miss. Kornelia Theodosia,female,1,0,13502, £77.96 ,Southampton,old,First class,survivor
277, Miss. Augusta Charlotta,female,0,0,347073, £7.75 ,Southampton,middle age,Third class,dead
279, Master. Eric,male,4,1,382652, £29.12 ,Queenstown,kid,Third class,dead
280, Mrs. Stanton Rosa,female,1,1,C.A. 2673, £20.25 ,Southampton,middle age,Third class,survivor
281, Mr. Frank,male,0,0,336439, £7.75 ,Queenstown,old,Third class,dead
282, Mr. Nils Johan,male,0,0,347464, £7.85 ,Southampton,Youth,Third class,dead
283, Mr. Alfons,male,0,0,345778, £9.50 ,Southampton,Teen,Third class,dead
284, Mr. Edward Arthur,male,0,0,A/5. 10482, £8.05 ,Southampton,Youth,Third class,survivor
286, Mr. Ivan,male,0,0,349239, £8.66 ,Cherbourg,middle age,Third class,dead
287, Mr. Theodore,male,0,0,345774, £9.50 ,Southampton,Youth,Third class,survivor
288, Mr. Penko,male,0,0,349206, £7.90 ,Southampton,Youth,Third class,dead
289, Mr. Masabumi,male,0,0,237798, £13.00 ,Southampton,middle age,Second class,survivor
290, Miss. Kate,female,0,0,370373, £7.75 ,Queenstown,Youth,Third class,survivor
291," Miss. Ellen Nellie""""""""",female,0,0,19877, £78.85 ,Southampton,Youth,First class,survivor
292, Mrs. Dickinson H,female,1,0,11967, £91.08 ,Cherbourg,Youth,First class,survivor
293, Mr. Rene Jacques,male,0,0,SC/Paris 2163, £12.88 ,Cherbourg,middle age,Second class,dead
